designator,oomp_key,placed,note,position_x,position_y,rotation,offset_x,offset_y
u1,oomp_electronic_ic_tqfp_32_mcu_atmega328_microchip_atmega328p_aur,TRUE,,0,-6.35,-45,,
u2,oomp_electronic_pmic_sot_223_linear_1117_5_volt,TRUE,,-1.905,12.065,-90,,
u3,oomp_electronic_ic_sop_16_converter_usb_to_serial_converter_wch_ch340g,TRUE,,0,-11.43,,,
j1,oomp_electronic_breakout_board_mcu_atmega328_shennie,TRUE,,-7.62,17.78,,,
j2,oomp_electronic_header_2d54_mm_dual_row_2x3_dual_row_6_pin,TRUE,,2.54,20.32,-90,,
j3,oomp_electronic_socket_usb_mini_surface_mount_only,TRUE,,0,-16.912,,,
l1_rx1,oomp_electronic_led_0603_red,TRUE,,-3,12,90,0,
l2_tx1,oomp_electronic_led_0603_red,TRUE,,-1,12,90,2,
l3_pow1,oomp_electronic_led_0603_red,TRUE,,1,12,-90,4,
l4_l1,oomp_electronic_led_0603_red,TRUE,,3,12,-90,6,
r1,oomp_electronic_resistor_0603_1000_ohm,TRUE,,-3,9,-90,,3
r2,oomp_electronic_resistor_0603_1000_ohm,TRUE,,-1,9,-90,,
r3,oomp_electronic_resistor_0603_1000_ohm,TRUE,,1,9,-90,,
r4,oomp_electronic_resistor_0603_1000_ohm,TRUE,,3,9,-90,,
r5,oomp_electronic_resistor_0603_1000_ohm,TRUE,serial_data_line,-4.445,-2.54,90,,
r6,oomp_electronic_resistor_0603_1000_ohm,TRUE,serial_data_line,-1.905,-2.54,90,,
r7,oomp_electronic_resistor_0603_1000_ohm,TRUE,auto_reset_circuit,5.08,13.335,90,,
b1,oomp_electronic_button_3_5_mm_x_6_mm_x_2_5_mm_surface_mount,TRUE,,0,4.445,,,
x1,oomp_electronic_ceramic_resonator_3213_3_pin_ground_pin_2_16_mega_hertz,TRUE,atmega328_crystal,-4.445,-0.635,45,,
x2,oomp_electronic_ceramic_resonator_3213_3_pin_ground_pin_2_12_mega_hertz,TRUE,ch340_crystal,-5.08,-14.605,90,,
d1,oomp_electronic_diode_schottky_sod_123_package_marking_b2_mbr0520,TRUE,back_power_protection,0,-21.59,90,,
c1,oomp_electronic_capacitor_3216_avx_a_tantalum_4_7_micro_farad_16_volt,TRUE,power_supply_filtering,3.175,-20.955,90,,
c2,oomp_electronic_capacitor_3216_avx_a_tantalum_4_7_micro_farad_16_volt,TRUE,power_supply_filtering,5.08,12.065,90,,
c3,oomp_electronic_capacitor_0603_100_nano_farad,TRUE,ch340_decoupling_3_volt,-4.445,-7.62,90,,
c4,oomp_electronic_capacitor_0603_100_nano_farad,TRUE,atmega328_decoupling_not_certain,-4.445,-22.542,90,,
c5,oomp_electronic_capacitor_0603_100_nano_farad,TRUE,auto_reset_circuit,5.08,10.16,90,,
c6,oomp_electronic_capacitor_0603_100_nano_farad,TRUE,power_supply_filtering,-4.445,8.255,90,,
c7,oomp_electronic_capacitor_0603_100_nano_farad,TRUE,power_supply_filtering,-1.905,-22.542,90,,
